mol_wt,logp,h_donors,h_acceptors,tpsa
14.075255624734552,-10.580054850470107,7.233525345077986,2.1359022698039607,12.640456026164825
11.299405618419332,-12.618324082216962,7.331187836466627,1.2069838305171867,11.921674892522368
12.250416539422664,-12.067266579625397,6.82500190945712,1.66070805732054,13.895835714306624
12.363193473316121,-10.831773380894266,7.12131729677218,1.1672686534325758,15.016709939606999
13.956107133988734,-10.744236879101264,6.395898671047873,1.045831297617457,14.477129428113697
13.084803095063915,-11.035414842013973,5.822748019321739,1.5846172713806796,13.904681567576386
12.534991500303274,-11.769981610635899,7.020351370799585,0.5300281311659777,13.345349773013213
13.016340721633572,-11.489854355925933,7.208566865010872,1.9454749932117152,12.816063862444835
12.293493869331195,-11.876139833433248,6.406195886227364,0.8911301583062279,14.314049759217372
12.694151813267895,-10.849468684822016,7.100905521783994,1.2694259509654775,14.681424203814586
13.057574312237787,-11.416119201163328,6.376614508928795,1.604929022826726,14.213518174716025
12.124669138406585,-11.463614012328788,6.163029294552473,0.9096266082889255,14.796476134753918
10.659160858882478,-12.218634358267629,6.430871244733602,1.3916995198717297,14.79598834127372
13.102525256736513,-11.254207016091136,7.738813769316488,0.8012121174735377,13.609087100701437
13.066532002791668,-10.816045205592289,6.642776451523179,1.5125156846875478,13.973600337370273
9.782062663564467,-7.931237144129887,5.912382879969337,2.001079704067638,15.712537251398313
10.896149188926126,-8.544994082461765,5.521029915548211,1.4770298017234789,15.687833531471398
12.516445213214086,-10.56579255457736,6.8148033258935845,0.9595856253823087,15.130048174881768
13.298363863392561,-10.79155075710676,6.636741164805208,1.0676688523145645,14.845788571641304
13.826780613236581,-11.443693962129508,6.833882862501844,1.3717677501584475,13.427727119630898
12.57499153172109,-12.193890568197085,7.050792814585161,0.6716614919047673,13.155235183622434
13.261051298329681,-11.234287270069611,6.415051378292704,1.1865034380812831,13.803077334825554
12.976414345713174,-11.732083292558093,6.260078951899373,1.0586661637068988,13.91155345107194
12.39943460781386,-12.747203698231385,7.37715364723563,0.5839905831227363,11.679442955348245
13.194094485579457,-11.61816455406643,6.846708656234601,0.8187963168624253,12.022938896408752
12.691250415813112,-12.106477392736931,7.196830253735763,0.882350144691348,12.130037684348284
12.331199709115253,-11.76082604250863,5.780894154035306,0.9936904670962299,13.822305225552704
13.34430272453773,-10.912836243567888,7.016662200908064,1.9301321330570935,13.447607707340927
12.514999706214804,-12.428723856260138,5.930376145421655,1.6438924843842488,13.52064922450417
12.315378521340628,-11.300169024038793,6.187389285804894,1.7011277183539826,15.541340168321067
11.526729857430192,-11.56554935539367,5.701945035097946,1.1778315745475783,14.992215530410313
11.293463439286915,-13.746966218626229,6.286722733845715,0.6325860260128515,12.016365684020363
12.348030561789134,-12.460849315909453,6.775227771643205,0.29676778090750366,12.690317746324213
12.2294079020488,-12.521336090464674,5.89613880719504,1.5101691454857962,12.492324407694499
12.644049273892033,-11.061752159696534,6.934865074337343,0.6848778947938423,14.77438013487734
11.669228575335728,-10.313140648640521,6.51078168167626,1.3718532714036096,15.570611240554442
11.530866257096301,-12.220527253313234,6.2912635082644055,1.0485267101099849,14.168235682424298
11.422330062262708,-11.711339800128938,6.870547516914931,0.2974818524853875,14.531140870322847
11.678524243477256,-11.692967328752774,5.233697571853876,1.845374711928994,14.662364423174171
13.762241657989993,-11.4860067174175,6.766146562071928,1.0033067693057458,12.926444146041478
13.246306950208805,-10.814201196706367,7.288355273668911,1.7785043762061719,14.189922970314658
13.039406907873197,-10.937931065764246,6.819738187515795,1.3822623206324565,14.390970282453711
13.83337184342133,-10.939434696801527,6.0683567675902435,1.965320475195267,12.490838942799645
13.000255966941593,-12.044425544040488,6.789661343184978,1.0992558956439242,12.640292075667343
11.141689223845455,-12.012415723923374,6.0825550311011005,0.2552754501572381,14.479263319477864
14.389536771591658,-9.29659448640796,6.957807836347315,1.46075472976766,11.739398342492054
11.141004041991105,-11.91600987488134,6.463491657772692,0.9695250770790249,14.563284660013027
